Type,Location,Bedrooms,Bathrooms,Floor,Floors Area,Lot Area,Garage,Garden,Pet Friendly,Reservation Fee,Price
House and Lot,Marikina City,3,2,1,120,189,2,yes,yes,0,3500000
House and Lot,Las Pinas City,2,2,1,94.81,51,1,yes,no,50000,4915000
House and Lot,Las Pinas City,2,2,1,46,39,1,no,yes,20000,3340000
House and Lot,Las Pinas City,2,2,2,48,46,1,yes,yes,20000,3850000
Townhouse,Las Pinas City,2,2,2,42,33,1,yes,yes,20000,2937000
House and Lot,Paranaque City,2,2,2,70,50,1,yes,yes,0,4300000
House and Lot,Las Pinas City,2,2,2,78,65,1,no,no,20000,4600000
House and Lot,Las Pinas City,2,2,2,95,51,1,yes,yes,50000,4915000
Townhouse,Las Pinas City,2,2,2,49,71,1,yes,yes,20000,4414000
House and Lot,Las Pinas City,2,2,2,55,54,1,yes,yes,20000,3858000
Townhouse,Las Pinas City,2,2,2,49,70,1,no,yes,0,4194000
House and Lot,Las Pinas City,2,2,2,47,50,1,yes,yes,20000,3548000
House and Lot,Las Pinas City,2,2,2,49,66,1,yes,yes,20000,4228000
House and Lot,Marikina City,3,2,2,88,44,1,no,no,0,4300000
Townhouse,Las Pinas City,2,2,2,47,48,1,yes,yes,20000,3650000
House and Lot,Marikina City,3,2,2,80,80,2,yes,yes,0,4200000
Townhouse,Las Pinas City,2,2,2,49,71,1,yes,yes,20000,4414000
Townhouse,Marikina City,3,2,2,106,60,1,yes,yes,0,4800000
Townhouse,Las Pinas City,2,2,2,98,56,1,yes,yes,50000,3994000
House and Lot,Las Pinas City,2,1,2,67,55,1,yes,yes,0,3900000
Townhouse,Las Pinas City,3,2,2,87,51,1,yes,no,0,4900000
House and Lot,Las Pinas City,3,2,2,70,52,1,yes,yes,30000,4480000
Townhouse,Caloocan City,2,1,2,56,44,1,no,yes,20000,2650000
House and Lot,Quezon City,3,2,2,65,48,1,yes,yes,0,3800000
House and Lot,Las Pinas City,2,2,2,49,66,1,no,yes,0,4228000
House and Lot,Las Pinas City,2,2,2,39,46,1,no,no,20000,3340000
House and Lot,Las Pinas City,2,2,2,55,54,1,no,yes,20000,3858000
House and Lot,Las Pinas City,2,2,2,42,38,1,no,yes,20000,3153000
House and Lot,Las Pinas City,2,2,2,47,48,1,yes,yes,20000,3650000
House and Lot,Las Pinas City,2,2,2,42,38,1,yes,yes,20000,2937000
Townhouse,Las Pinas City,3,2,2,89,50,1,no,yes,50000,4902643
House and Lot,Las Pinas City,3,1,2,60,165,1,yes,yes,0,4200000
Townhouse,Las Pinas City,2,1,2,67,54,1,no,no,20000,4200000
